Entity Type,Operating Status,Out of Service Date,Legal Name,DBA Name,Physical Address,Phone,Mailing Address,USDOT Number,State Carrier ID Number,MC/MX/FF Number(s),DUNS Number,Power Units,Drivers,MCS-150 Form Date,MCS-150 Mileage (Year)
CARRIER/BROKER,AUTHORIZED FOR Property,None,DOUG ANDRUS DISTRIBUTING LLC,,"6300 S 45TH WEST
            IDAHO FALLS, ID   83402",(208) 533-6700,"6300 S 45TH WEST
          IDAHO FALLS, ID   83402",234,,MC-123310,18-839-8226,255,256,02/28/2023,"25,723,412 (2022)"
CARRIER,ACTIVE,None,FELIX ANCHUSTEGUI TRUCKING INC,,"6404 E FLAMINGO AVE
            NAMPA, ID   83687-8516",(208) 466-2255,"6404 E FLAMINGO AVE
          NAMPA, ID   83687-8516",239,,,73-098-824,3,2,07/14/2023,"61,945 (2023)"
CARRIER,ACTIVE,None,RICHARD D AUSTIN,AUSTIN TRUCKING,"10 MOPAR LN
            SALMON, ID   83467",(208) 303-0260,"10 MOPAR LN
          SALMON, ID   83467",254,,,78-128-5309,4,1,10/27/2023,"4,888 (2022)"
CARRIER,ACTIVE,None,BOISE DELIVERY & TRANSFER INC,,"27 NO PHILLIPPI
            BOISE, ID   83706",(208) 375-5577,"P O BOX 8088
          BOISE, ID   83707-2088",261,,,06-797-2083,5,6,07/10/2009,
CARRIER,ACTIVE,None,ACME BRICK SALES CO,,"5450 SALEM UNITY ROAD
            SALEM, OH   44460",(724) 266-4022,"750 AMBRIDGE AVE
          AMBRIDGE, PA   15003",264,,,62-534-9014,1,1,04/18/2023,"3,000 (2022)"
CARRIER,ACTIVE,None,ACME CLAY PRODUCTS INC,,"606 ISLAND AVE
            MC KEES ROCKS, PA   15136-3246",(412) 771-4430,"PO BOX 412
          MC KEES ROCKS, PA   15136-0412",265,,,01-437-6941,2,1,05/09/2008,"21,000 (2007)"
CARRIER,ACTIVE,None,AMERICAN INDUSTRIAL CONTRACTING INC,,"264 E BEAVER ST
            SEWICKLEY, PA   15143",(412) 741-8513,"264 E BEAVER ST
          SEWICKLEY, PA   15143",285,,,--,1,2,05/08/2006,"10,000 (2005)"
CARRIER/SHIPPER,ACTIVE,None,JAMES AUSTIN COMPANY,,"115 DOWNIEVILLE ROAD
            MARS, PA   16046",(724) 625-1535,"PO BOX   827
          MARS, PA   16046",306,,,43-409-23,4,9,07/12/2022,"42,000 (2018)"
CARRIER,ACTIVE,None,NEW BERRY INC,BERRY METAL COMPANY,"2408 EVANS CITY ROAD
            HARMONY, PA   16037",(724) 453-1609,"2408 EVANS CITY RD
          HARMONY, PA   16037",323,,,43-199-92,2,2,02/18/2022,"150,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,D ALI TRUCKING INC,,"7225 NOBLESTOWN ROAD
            OAKDALE, PA   15071-0011",(724) 693-0591,"764 GAMBLE ROAD
          OAKDALE, PA   15071",334,,MC-119999,48-667-29,4,2,02/06/2023,"46,865 (2020)"
CARRIER,AUTHORIZED FOR Passenger,None,AC COACH OPERATIONS INC,ANDERSON COACH & TRAVEL,"1 ANDERSON PLZ
            GREENVILLE, PA   16125",(724) 588-8310,"1 ANDERSON PLZ
          GREENVILLE, PA   16125",337,,MC-111422,43-579-35,50,62,10/20/2023,"1,997,591 (2022)"
CARRIER,AUTHORIZED FOR Passenger,None,MCCARTER TRANSIT INC,,"2569 DARLINGTON ROAD
            BEAVER FALLS, PA   15010",(724) 847-0530,"2569 DARLINGTON ROAD
          BEAVER FALLS, PA   15010",344,,MC-117173,72-151-343,131,107,03/04/2022,"198,051 (2021)"
CARRIER,AUTHORIZED FOR Property,None,W J BEITLER CO,,"3379 STAFFORD ST
            PITTSBURGH, PA   15204",(412) 771-4204,"3379 STAFFORD ST
          PITTSBURGH, PA   15204",345,,MC-2876,88-108-63,1,1,06/16/2022,1 (2021)
CARRIER,ACTIVE,None,AARON'S LLC,WOODHAVEN,"400 GALLERIA PKWY
            ATLANTA, GA   30339",(678) 402-3586,"400 GALLERIA PKWY
          ATLANTA, GA   30339",363,,,33-501-545,"1,562","3,032",02/28/2022,"33,264,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,MOHAWK CARPET TRANSPORTATION OF GEORGIA LLC,MOHAWK,"160 SOUTH INDUSTRIAL BLVD
            CALHOUN, GA   30701",(706) 272-1821,"508 E MORRIS STREET
          DALTON, GA   30721",374,,"MC-267642
 MC-215729",96-947-5516,756,945,04/03/2023,"54,556,044 (2022)"
CARRIER/SHIPPER,ACTIVE,None,CHEM AQUA INC,SMARTLINK-ANCOLINK AS ANCO A DIVISION OF CHEM AQUA INC,"1840 WATERVILLE RD
            MACON, GA   31206",(478) 803-6132,"P O BOX 4507
          MACON, GA   31213",382,,,32-831-99,12,12,02/08/2008,"320,000 (2005)"
CARRIER,ACTIVE,None,ABC COMPOUNDING CO INC,,"1102 E AVENUE J
            GRAND PRAIRIE, TX   75050",(678) 833-2105,"PO BOX 80729
          CONYERS, GA   30013",386,,,32-843-53,1,1,06/16/2022,"2,200 (2021)"
CARRIER,ACTIVE,None,DELTA AIR LINES INC,DELTA AIR LINES,"1020 DELTA BLVD
            ATLANTA, GA   30320-6001",(404) 773-8824,"DEPT 885 PO BOX 20706
          ATLANTA, GA   30320-6001",407,,,69-248-72,641,116,07/29/2022,"10,000 (2022)"
CARRIER/SHIPPER,ACTIVE,None,FARMER'S COOP ELEVATOR CO,,"317 OSBORN ST
            HEMINGFORD, NE   69348",(308) 487-3317,"PO BOX 155
          HEMINGFORD, NE   69348",412,,,--,30,23,11/03/2022,"268,000 (2021)"
CARRIER,ACTIVE,None,THE PICTSWEET COMPANY,,"TEN PICTSWEET DRIVE
            BELLS, TN   38006",(731) 663-7600,"TEN PICTSWEET DRIVE
          BELLS, TN   38006",430,,,79-331-04,23,20,10/23/2023,"361,763 (2022)"
CARRIER,ACTIVE,None,BUSH BROTHERS & COMPANY,,"1016 EAST WEISGARBER
            KNOXVILLE, TN   37909",(865) 776-4804,"1016 EAST WEISGARBER
          KNOXVILLE, TN   37909",444,,,33-775-38,3,3,08/12/2021,"1,500 (2020)"
CARRIER,ACTIVE,None,BROOKS FURNITURE MFG INC,,"110 MAPLES LANE
            TAZEWELL, TN   37879",(423) 626-1111,"P O BOX 199
          TAZEWELL, TN   37879-0199",468,,,33-756-31,5,4,08/03/2022,"280,000 (2019)"
CARRIER/BROKER,"AUTHORIZED FOR Property, HHG",None,ARMSTRONG TRANSFER & STORAGE COMPANY INC,ARMSTRONG RELOCATION CO,"3927 WINCHESTER RD
            MEMPHIS, TN   38118",(901) 363-1914,"3927 WINCHESTER RD
          MEMPHIS, TN   38118",525,,MC-76574,68-685-82,2,2,02/20/2023,"72,330 (2022)"
CARRIER,AUTHORIZED FOR Property,None,C W WILLIAMS INC,,"1078 CR 11
            HICKORY FLAT, MS   38633",(662) 988-2117,"1078 CR 11
          HICKORY FLAT, MS   38633",529,,MC-138177,82-961-5722,17,19,12/16/2022,"1,201,758 (2022)"
CARRIER/BROKER,ACTIVE,None,BUILDERS TRANSPORTATION CO LLC,,"2607 BRICK CHURCH PIKE
            NASHVILLE, TN   37207",(901) 369-1220,"PO BOX 846
          MONROEVILLE, TN   37207",531,,,77-723-61,1,1,05/13/2021,1 (2020)
CARRIER,AUTHORIZED FOR Property,None,BARNHART CRANE AND RIGGING CO,,"2163 AIRWAYS BLVD
            MEMPHIS, TN   38114",(901) 775-3000,"2163 AIRWAYS BLVD
          MEMPHIS, TN   38114",536,,MC-108008,18-992-9649,690,647,10/18/2023,"6,192,259 (2022)"
CARRIER,AUTHORIZED FOR Property,None,DUFFY CRANE INC,DUFFY CRANE & HAULING,"10180 BRIGHTON RD
            HENDERSON, CO   80640",(303) 778-8484,"10180 BRIGHTON RD
          HENDERSON, CO   80640",594,,MC-97345,--,49,95,07/08/2022,"1,785,000 (2018)"
CARRIER,ACTIVE,None,DURANGO COCA-COLA BOTTLING CO,DURANGO COCA-COLA,"75 GIRARD ST
            DURANGO, CO   81303",(970) 247-1560,"75 GIRARD ST
          DURANGO, CO   81303",595,,,71-063-62,23,61,02/16/2023,"1,000,000 (2022)"
CARRIER/CARGO TANK,ACTIVE,None,EATON SALES & SERVICE LLC,,"4803 YORK ST
            DENVER, CO   80216-2237",(303) 296-4800,"P O BOX 16405
          DENVER, CO   80216-0405",603,,,70-568-07,95,95,03/27/2023,"2,000,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,ADAMS TRUCKING & SUPPLY INC,,"3700 US ROUTE 60 EAST
            BARBOURSVILLE, WV   25504",(304) 736-7791,"PO BOX 252
          BARBOURSVILLE, WV   25504",612,,MC-203611,21-606-232,30,19,02/10/2023,"325,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,EMPIRE WAREHOUSE INC,,"11701 E 53RD AVE
            DENVER, CO   80239",(303) 776-9500,"11701 E 53RD AVE
          DENVER, CO   80239",619,,MC-136146,--,11,8,01/23/2023,"525,000 (2022)"
CARRIER,ACTIVE,None,CARHART LUMBER COMPANY,,"105 MAIN STREET
            WAYNE, NE   68787",(402) 375-2112,"105 MAIN STREET
          WAYNE, NE   68787",642,,,89-109-37,36,30,02/06/2022,"246,353 (2021)"
CARRIER,AUTHORIZED FOR Property,None,CHRISTENSEN TRUCKING INC,,"2967 HWY 14
            FULLERTON, NE   68638",(308) 536-2405,"2967 HWY 14
          FULLERTON, NE   68638",651,,MC-447099,61-529-400,7,6,11/22/2022,"379,395 (2021)"
CARRIER/SHIPPER,NOT AUTHORIZED,None,RICK DICKMAN,DICKMAN TRANSFER,"600 W 3RD STREET
            AXTELL, NE   68924",(308) 743-2050,"PO BOX 314
          AXTELL, NE   68924",684,,MC-212519,--,1,1,05/17/2013,"116,015 (2012)"
CARRIER,AUTHORIZED FOR Property,None,EBEL TRANSFER INC,,"212 W SHERMAN ST
            WEST POINT, NE   68788-2237",(402) 372-2481,"P O BOX 251
          WEST POINT, NE   68788-0251",702,,MC-1293,72-905-62,6,5,02/10/2022,"484,617 (2021)"
CARRIER,ACTIVE,None,KIRBY KELLY KLOPPENBORG,EMMET HAY COMPANY,"504 MAIN ST
            EMMET, NE   68734-0067",(402) 336-2208,"504 MAIN ST
          EMMET, NE   68734-0067",712,,,--,1,1,02/13/2023,"46,677 (2022)"
CARRIER,AUTHORIZED FOR Property,None,EVELAND SUPPLY CO INC,EVELAND SUPPLY CO,"710 COUNTY ROAD 14
            SCRIBNER, NE   68057",(402) 664-3200,"710 CO RD 14
          SCRIBNER, NE   68057",716,,MC-389936,--,18,10,04/10/2023,"269,673 (2022)"
CARRIER,AUTHORIZED FOR Property,None,ALBERT FARMS INC,,"791 MAIN ST
            MADAWASKA, ME   04756",(207) 728-4318,"791 MAIN ST
          MADAWASKA, ME   04756",717,,MC-152946,54-259-098,11,20,07/08/2023,"599,720 (2023)"
CARRIER,AUTHORIZED FOR Property,None,FOLTZ BROTHERS INC,,"31900 STATE HWY 91
            HUMPHREY, NE   68642-0525",(402) 923-0166,"PO BOX 525
          HUMPHREY, NE   68642-0525",726,,MC-406291,14-518-9130,5,5,07/13/2022,"214,496 (2021)"
CARRIER,AUTHORIZED FOR Property,None,FREMONT CONTRACT CARRIERS INC,,"865 SOUTH BUD BOULEVARD
            FREMONT, NE   68025",(402) 721-3020,"P O BOX 489
          FREMONT, NE   68026-0489",733,,MC-128190,74-924-16,406,400,02/27/2023,"47,285,506 (2022)"
CARRIER,AUTHORIZED FOR Property,None,GLODOWSKI TRUCKING INC,,"985 ROAD 19
            ROGERS, NE   68658",(402) 615-0667,"985 ROAD 19
          ROGERS, NE   68658",748,,MC-424971,85-822-898,3,2,08/01/2022,"134,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,GRAHAM TRUCKING CO INC,,"339 NORTH GOVERNMENT ST
            VALENTINE, NE   69201-1925",(402) 376-1402,"339 NORTH GOVERNMENT ST
          VALENTINE, NE   69201-1402",754,,MC-162402,--,1,1,02/07/2023,"70,039 (2020)"
CARRIER,ACTIVE,None,GRAIN STATES SOYA INC,,"400 JOHNSON ROAD
            WEST POINT, NE   68788",(402) 372-2429,"P O BOX 157
          WEST POINT, NE   68788",755,,,--,5,3,05/03/2023,"90,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,GROSCH IRRIGATION CO INC,,"114 N 6TH ST
            ONEILL, NE   68763",(402) 336-1438,"114 N 6TH ST
          ONEILL, NE   68763",761,,MC-168114,41-244-138,87,39,12/10/2023,"131,658 (2023)"
CARRIER,ACTIVE,None,GROSSERHODE TRANSFER,,"2455 RD 17
            DODGE, NE   68633-4060",(402) 693-2678,"2455 RD 17
          DODGE, NE   68633-4060",762,,,83-766-9597,3,3,02/07/2006,"67,859 (2001)"
CARRIER,ACTIVE,None,METTLER IMPLEMENT INC,,"556 E HWY 18
            MENNO, SD   57045",(605) 387-2323,"PO BOX 445
          MENNO, SD   57045",765,,,24-343-519,3,3,05/04/2022,300 (2021)
CARRIER,ACTIVE,None,A H MEYER & SONS INC,MEYER HONEY FARMS,"408 MAIN STREET
            WINFRED, SD   57076",(605) 485-2221,"PO BOX 98
          WINFRED, SD   57076",767,,,42-373-795,3,1,10/23/2023,524 (2021)
CARRIER,AUTHORIZED FOR Property,None,MIDWEST OIL CO INC,,"615 EAST 8TH STREET
            SIOUX FALLS, SD   57103",(605) 336-3337,"615 EAST 8TH STREET
          SIOUX FALLS, SD   57103",787,,MC-476479,24-376-576,5,4,07/07/2023,"35,000 (2022)"
SHIPPER,ACTIVE,None,NICHOLS ALUMINUM,,"200 SCHELTER RD
            PRAIRIE VIEW, IL   60069-3604",(847) 634-3150,"P O BOX 1401
          PRAIRIE VIEW, IL   60069-1401",803,,,00-510-1514,,,03/09/2010,
CARRIER,AUTHORIZED FOR Property,None,MITZEL & SONS INC,,"38391 US HWY 12
            ABERDEEN, SD   57401",(605) 225-7464,"38391 US HWY 12
          ABERDEEN, SD   57401",812,,MC-240347,--,6,6,11/16/2023,"215,921 (2023)"
CARRIER,AUTHORIZED FOR Property,None,MOELLER TRUCK SERVICE INC,,"516 E MAIN
            BRYANT, SD   57221",(605) 520-1544,"P O BOX 84
          BRYANT, SD   57221",819,,MC-231882,24-308-348,2,1,07/17/2023,"60,000 (2022)"
CARRIER/SHIPPER,ACTIVE,None,MOYLE PETROLEUM COMPANY,,"2504 W MAIN ST
            RAPID CITY, SD   57702",(605) 343-1966,"PO BOX 2860
          RAPID CITY, SD   57709",835,,,24-363-376,12,7,05/18/2023,"294,000 (2022)"
CARRIER,ACTIVE,None,MUSICK LIVESTOCK LLC,,"3201 NORTH OHLMAN STREET
            MITCHELL, SD   57301",(605) 996-7813,"3201 NORTH OHLMAN STREET
          MITCHELL, SD   57301",844,,,--,2,4,04/14/2017,"101,300 (2016)"
CARRIER,ACTIVE,None,MYRL & ROY'S PAVING INC,,"1300 N BAHNSON AVE
            SIOUX FALLS, SD   57103",(605) 334-5000,"350 S MAIN AVE #400
          SIOUX FALLS, SD   57104",845,,,--,45,31,03/09/2022,"1,011,111 (2019)"
CARRIER,NOT AUTHORIZED,None,NIESEN TRUCK LINE INC,,"902 7TH AVENUE
            BRITTON, SD   57430",(605) 448-5650,"P O  BOX 937
          BRITTON, SD   57430-0937",874,,MC-115112,--,1,2,04/09/2005,"80,000 (2002)"
CARRIER,NOT AUTHORIZED,None,NORTHWEST BEVERAGE INC,,"E HWY NO  12
            MOBRIDGE, SD   57601",(605) 845-3902,"P O BOX 398
          MOBRIDGE, SD   57601-0398",880,,MC-128956,02-434-9946,3,5,10/31/2004,"70,000 (2004)"
CARRIER,AUTHORIZED FOR Property,None,HILLS PRODUCTS GROUP INC,,"314 FOUNDERS PARK DR
            RAPID CITY, SD   57701",(605) 394-3310,"PO BOX 2624
          RAPID CITY, SD   57709",881,,MC-445690,--,7,8,10/17/2023,"206,217 (2022)"
CARRIER,ACTIVE,None,NORTHWEST PIPE FITTINGS INC,,"2309 W OMAHA ST
            RAPID CITY, SD   57702-2462",(605) 342-5587,"P O BOX 920
          RAPID CITY, SD   57709-0920",883,,,74-997-18,10,8,09/27/2023,"253,897 (2022)"
CARRIER,AUTHORIZED FOR Property,None,JERALD OLLERICH,JERRY OLLERICH TRUCKING,"46884 267TH STREET
            SIOUX FALLS, SD   57106-7008",(605) 310-5553,"46884 267TH STREET
          SIOUX FALLS, SD   57106-7008",909,,MC-172343,12-660-3331,1,1,09/01/2023,"134,000 (2022)"
CARRIER,AUTHORIZED,None,OPPERMAN INC,,"908 EAST 14TH ST
            GREGORY, SD   57533",(605) 835-8578,"908 EAST 14TH ST
          GREGORY, SD   57533",920,,"MC-135255
 MC-138170",--,18,14,10/28/2022,"549,326 (2021)"
CARRIER,AUTHORIZED FOR Property,None,OUELLETTE TRUCKING INC,,"2704 E HWY 50
            VERMILLION, SD   57069",,"408 BULOW ST
          VERMILLION SD 57069, SD   57069",923,,MC-201422,--,9,9,03/25/2023,"789,407 (2022)"
CARRIER,NOT AUTHORIZED,None,CHRIS CAM CORPORATION,HEARTLAND PAPER CO,"808 WEST CHEROKEE
            SIOUX FALLS, SD   57104",(605) 336-1190,"808 WEST CHEROKEE
          SIOUX FALLS, SD   57104",943,,MC-343622,88-627-559,19,21,06/11/2021,"1,199,000 (2019)"
CARRIER,AUTHORIZED FOR HHG,None,PARKER TRANSFER AND STORAGE INC,PARKER,"1700 N F AVENUE
            SIOUX FALLS, SD   57104-0211",(605) 336-3118,"1700 N F AVENUE
          SIOUX FALLS, SD   57104-0211",945,,MC-71820,68-684-18,5,7,10/12/2023,"40,000 (2023)"
CARRIER,ACTIVE,None,PATRON'S COOPERATIVE ASSOCIATION,,"3504 EDWARDS STREET
            RAPID CITY, SD   57703",(605) 342-0721,"PO BOX 1380
          RAPID CITY, SD   57709",947,,,24-363-814,5,4,07/01/2022,"55,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,PERKINS STORAGE & TRANSFER CO INC,,"416 3RD AVE
            BROOKINGS, SD   57006",(605) 692-2041,"PO BOX 7
          BROOKINGS, SD   57006",969,,MC-81290,24-307-563,5,16,02/13/2023,"16,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,BULK CARRIERS SPECIALISTS INC,,"2565 SAINT MARY'S AVENUE
            OMAHA, NE   68105-1654",(402) 346-8092,"2565 SAINT MARY'S AVENUE
          OMAHA, NE   68105",979,,MC-233660,--,1,1,09/13/2023,"31,894 (2022)"
CARRIER,AUTHORIZED FOR Property,None,ROBERT AND ROGER PUNT,PUNT TRUCKING,"204 S 4TH AVE
            STICKNEY, SD   57375",(605) 999-2852,"PO BOX 276
          STICKNEY, SD   57375",1018,,MC-157777,--,5,5,08/02/2023,"534,000 (2022)"
CARRIER,ACTIVE,None,GRANT RANGE BULL CO INC,,"3990 N 2800 W
            BRIGHAM CITY, UT   84302",(435) 744-0609,"3990 N 2800 W
          BRIGHAM CITY, UT   84302",1043,,,67-979-815,2,2,08/20/2023,"20,000 (2021)"
CARRIER/BROKER,AUTHORIZED FOR Property,None,RICH GRANT TRUCKING CO,,"910 W 24TH STREET
            OGDEN, UT   84401",(801) 621-7370,"910 W 24TH ST
          OGDEN, UT   84401",1044,,MC-140193,94-649-696,10,10,03/30/2023,"474,959 (2022)"
CARRIER,ACTIVE,None,JUNIOR LISH & SONS INC,,"387 WEST FACTORY
            GARLAND, UT   84312",(435) 257-1521,"387 WEST FACTORY
          GARLAND, UT   84312",1060,,,10-839-7589,4,4,08/10/2022,"46,380 (2022)"
CARRIER/SHIPPER,ACTIVE,None,LARSEN BEVERAGE INC,PEPSI COLA BOTTLING OF OGDEN,"2780 N HWY 89
            OGDEN, UT   84404-5752",(801) 737-2580,"2780 NORTH HWY 89
          OGDEN, UT   84404-5752",1080,,,41-307-471,45,55,10/13/2023,"613,559 (2021)"
CARRIER,ACTIVE,None,ASAEL FARR AND SONS COMPANY,FARR ICE CREAM,"2575 SOUTH 300 WEST
            SALT LAKE CITY, UT   84115",(801) 484-8724,"PO BOX 651250
          SALT LAKE CITY, UT   84165-1250",1092,,,90-872-71,19,21,03/01/2023,"356,067 (2022)"
CARRIER,ACTIVE,None,LOUIS A ROSER CO INC,LA ROSER,"1975 W NORTH TEMPLE
            SALT LAKE CITY, UT   84116",(801) 363-8849,"1975 W NORTH TEMPLE
          SALT LAKE CITY, UT   84116",1105,,,38-188-12,1,6,03/08/2022,"10,000 (2021)"
CARRIER/SHIPPER,NOT AUTHORIZED,None,RMC FOODS INC,,"825 NORTH INDUSTRIAL RD
            SAINT GEORGE, UT   84770-3126",(435) 673-3583,"825 NORTH INDUSTRIAL ROAD
          SAINT GEORGE, UT   84770-3126",1114,,MC-197374,--,38,41,02/22/2012,"1,595,778 (2011)"
CARRIER,AUTHORIZED FOR Property,None,KOMATSU AMERICA CORP,KOMATSU,"8770 W BRYN MAWR AVE SUITE 100
            CHICAGO, IL   60631",(775) 748-4637,"1486 SOUTH DISTRIBUTION DR
          SALT LAKE CITY, UT   84104",1115,,MC-458115,94-171-5128,52,49,12/08/2022,"1,857,016 (2021)"
CARRIER,AUTHORIZED FOR Property,None,NICHOLAS AND COMPANY INC,,"5520 HAROLD GATTY DRIVE
            SALT LAKE CITY, UT   84116",(801) 531-1100,"PO BOX 45005
          SALT LAKE CITY, UT   84145",1122,,MC-298841,--,142,190,10/04/2023,"6,066,105 (2023)"
CARRIER,ACTIVE,None,NU-ART MEMORIAL COMPANY,,"1863 S STATE ST
            SALT LAKE CITY, UT   84115",(801) 486-1691,"1863 S STATE ST
          SALT LAKE CITY, UT   84115",1124,,,35-376-060,5,3,03/09/2023,"125,000 (2022)"
CARRIER,ACTIVE,None,THE UNION SAND & SUPPLY CORP,,"5585 CANAL ROAD
            VALLEY VIEW, OH   44125",(216) 447-0814,"5585 CANAL ROAD
          VALLEY VIEW, OH   44125",1125,,,41-725-32,1,1,06/22/2020,"5,000 (2019)"
CARRIER,ACTIVE,None,THE VICTORY WHITE METAL CO,,"3027 EAST 55TH STREET
            CLEVELAND, OH   44127-1353",(216) 271-1400,"PO BOX 605187
          CLEVELAND, OH   44105",1145,,,41-674-90,1,2,04/24/2023,"3,500 (2023)"
CARRIER,ACTIVE,None,WALLOVER OIL COMPANY INCORPORATED,,"21845 DRAKE ROAD
            STRONGSVILLE, OH   44149",(440) 876-6020,"21845 DRAKE ROAD
          STRONGSVILLE, OH   44149",1163,,,--,6,2,03/06/2023,"70,000 (2022)"
CARRIER/SHIPPER,ACTIVE,None,THE WHITACRE ENGINEERING CO,WHITACRE REBAR,"4645 REBAR AVE NE
            CANTON, OH   44705",(330) 455-8505,"PO BOX 8444
          CANTON, OH   44711",1174,,,45-226-29,2,1,04/19/2023,"60,000 (2020)"
CARRIER,ACTIVE,None,BAYLOFF STAMPED PRODUCTS,,"8091 STATE ROUTE 5
            KINSMAN, OH   44428",(330) 876-4511,"8091 STATE ROUTE 5
          KINSMAN, OH   44428",1185,,,44-668-68,1,1,05/10/2022,"40,000 (2021)"
CARRIER,ACTIVE,None,TECHNICAL PRODUCTS INC,,"3500 RIDGE ROAD
            CLEVELAND, OH   44102",(216) 961-3340,"3500 RIDGE ROAD
          CLEVELAND, OH   44102",1188,,,17-849-035,2,2,07/01/2022,"35,000 (2022)"
CARRIER/SHIPPER/CARGO TANK,ACTIVE,None,THE TIMKEN COMPANY,004465100,"1835 DUEBER AVE S W   GSP-05
            CANTON, OH   44706",(330) 471-3776,"PO BOX 6926
          CANTON, OH   44706-0926",1199,,,--,22,15,09/06/2005,"157,000 (2004)"
CARRIER,ACTIVE,None,TRAMONTE DISTRIBUTING CO,,"1267 S MAIN ST
            AKRON, OH   44301-1359",(330) 535-3103,"1267 S MAIN ST
          AKRON, OH   44301-1359",1205,,,17-494-147,25,20,05/13/2022,"200,000 (2021)"
CARRIER,ACTIVE,None,TRUMBULL INDUSTRIES INC,,"400 DIETZ ROAD
            WARREN, OH   44483",(330) 393-6624,"PO BOX 30
          WARREN, OH   44482-0030",1222,,,39-793-58,13,4,09/28/2023,"745,000 (2022)"
CARRIER,ACTIVE,None,SAM WINER MOTORS INC,,"3417 E WATERLOO RD
            AKRON, OH   44312-4068",(330) 628-4881,"P O BOX 6258
          AKRON, OH   44312-0258",1238,,,00-445-8139,1,1,08/05/2003,
